concept,deps,dep_articles
Cauchy matrix,"['group', 'matrix', 'element']","['Group (mathematics)', 'Matrix (mathematics)', 'Element (mathematics)']"
Projection (mathematics),"['map', 'point', 'plane']","['Map (mathematics)', 'Point (geometry)', 'Plane (geometry)']"
Variance swap,"['swap', 'risk', 'change']","['Lean (proof assistant)', 'Risk', 'Rate (mathematics)']"
Subtraction,"['operation', 'mathematical', 'concept']","['Operation (mathematics)', 'Mathematics', 'Concept']"
Reflectance,"['reflectance', 'surface', 'light']","['Surface (mathematics)', 'Light']"
One-to-one (data model),"['mapping', 'entity', 'mapping']","['Map (mathematics)', 'Quantity', 'Map (mathematics)']"
Norm (mathematics),"['mean', 'average', 'measure']","['Mean', 'Average', 'Measure (mathematics)']"
Irreducibility (mathematics),"['property', 'set', 'element']","['Property (mathematics)', 'Set (mathematics)', 'Element (mathematics)']"
Derivative,"['change', 'function', 'value']","['Rate (mathematics)', 'Function (mathematics)', 'Truth value']"
Self-similarity,"['property', 'structure', 'set']","['Property (mathematics)', 'Structure (mathematical logic)', 'Set (mathematics)']"
Adjacency matrix,"['matrix', 'element', 'original']","['Matrix (mathematics)', 'Element (mathematics)', 'Involution (mathematics)']"
Intersection graph,"['graph', 'point', 'intersection']","['Graph (discrete mathematics)', 'Point (geometry)', 'Intersection']"
Alternating multilinear map,"['state', 'map', 'alternate']","['Function (mathematics)', 'Map (mathematics)', 'Cis (mathematics)']"
Square root of a matrix,"['matrix', 'element', 'row']","['Matrix (mathematics)', 'Element (mathematics)', 'Rank (linear algebra)']"
Randomized algorithm,"['algorithm', 'deterministic', 'random']","['Algorithm', 'Determinism', 'Random walk']"
Permutation test,"['set', 'element', 'permutation']","['Set (mathematics)', 'Element (mathematics)', 'Permutation']"
Change of basis,"['change', 'system', 'number']","['Rate (mathematics)', 'Mathematics', 'Number']"
Jordan measure,"['measure', 'distance', 'point']","['Measure (mathematics)', 'Distance', 'Point (geometry)']"
Half-life,"['half-life', 'time', 'interval']","['Local time (mathematics)', 'Interval (mathematics)']"
Canonical form,"['group', 'subset', 'element']","['Group (mathematics)', 'Subset', 'Element (mathematics)']"
Sage (philosophy),"['person', 'wise', 'concept']","['Graph (discrete mathematics)', 'Vector (mathematics and physics)', 'Concept']"
Helmholtz equation,"['differential equation', 'fluid', 'motion']","['Differential equation', 'Fluid dynamics', 'Motion']"
Decoding methods,"['bit', 'channel', 'encode']","['Bit', 'Rachel Riley', 'Code']"
Converse (logic),"['statement', 'truth', 'opposite']","['Mathematics', 'Truth', 'Parity (mathematics)']"
Parseval's identity,"['product', 'vector', 'scalar']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Scalar (mathematics)']"
North Korea,"['country', 'population', 'million']","['Parity (mathematics)', 'World population', 'Mega Millions']"
Axis,"['line', 'circle', 'center']","['Line (geometry)', 'Circle', 'Centroid']"
Orthogonal functions,"['function', 'function', 'orthogonality']","['Function (mathematics)', 'Function (mathematics)', 'Orthogonality (mathematics)']"
Resistance distance,"['measure', 'circuit', 'point']","['Measure (mathematics)', 'RLC circuit', 'Point (geometry)']"
Resistor,"['device', 'resistance', 'current']","['Abacus', 'Negative resistance', 'Current (mathematics)']"
Fisher transformation,"['symmetry', 'group', 'transformation']","['Symmetry', 'Group (mathematics)', 'Transformation (function)']"
Restriction (mathematics),"['condition', 'solution', 'exist']","['Kutta condition', 'Equation', 'Quantity']"
MATLAB,"['programming', 'language', 'high']","['Linear programming', 'Formal language', 'Function (mathematics)']"
Square root,"['ratio', 'circle', 'diameter']","['Ratio', 'Circle', 'Diameter (disambiguation)']"
Error correction code,"['error correction', 'code', 'data']","['Code', 'Mathematics']"
Antimagic square,"['vertex', 'side', 'square']","['Vertex (geometry)', 'Parity (mathematics)', 'Square']"
Orthogonality (mathematics),"['line', 'segment', 'perpendicular']","['Line (geometry)', 'Line segment', 'Perpendicular']"
Helmert transformation,"['symmetry', 'image', 'preserve']","['Symmetry', 'Image (mathematics)', 'Isometry']"
Division (mathematics),"['operation', 'number', 'reduce']","['Operation (mathematics)', 'Number', 'Reduce (computer algebra system)']"
Trajectory,"['path', 'body', 'follow']","['Path (topology)', 'Rigid body', 'Matrix (mathematics)']"
Vacuum solution (general relativity),"['field', 'solution', 'equation']","['Field (mathematics)', 'Equation', 'Equation']"
Hamming weight,"['symmetry', 'measure']","['Symmetry', 'Measure (mathematics)']"
Erlangen program,"['set', 'function', 'equivalence']","['Set (mathematics)', 'Function (mathematics)', 'Equivalence class']"
Structure constants,"['set', 'number', 'property']","['Set (mathematics)', 'Number', 'Property (mathematics)']"
Point (geometry),"['line', 'segment', 'point']","['Line (geometry)', 'Line segment']"
Musical isomorphism,"['mirror image', 'composition', 'mirror']","['Mirror image', 'Composition (combinatorics)', 'Mirror']"
Horner's method,"['polynomial', 'inverse', 'root']","['Polynomial', 'Inverse function', 'Root (disambiguation)']"
Sigma,"['constant', 'constant velocity', 'constant acceleration']","['Constant (mathematics)', 'Terminal velocity', 'Acceleration']"
Similarity invariance,"['property', 'set', 'object']","['Property (mathematics)', 'Set (mathematics)', 'Category (mathematics)']"
Characteristic class,"['property', 'class', 'object']","['Property (mathematics)', 'Class (set theory)', 'Category (mathematics)']"
Golden rectangle,"['diagonal', 'length', 'width']","['Diagonal', 'Length', 'Clique-width']"
Bounded inverse theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Linear dynamical system,"['time', 'function', 'equation']","['Local time (mathematics)', 'Function (mathematics)', 'Equation']"
Chemical reaction network theory,"['reaction', 'model', 'chemical']","['Reaction rate', 'Mathematics', 'Chemistry']"
Linear code,"['code', 'bit', 'combination']","['Code', 'Bit', 'Combination']"
Infinite product,"['property', 'set', 'subset']","['Property (mathematics)', 'Set (mathematics)', 'Subset']"
Degeneracy (mathematics),"['degeneracy', 'set', 'subset']","['Set (mathematics)', 'Subset']"
Intrinsic dimension,"['dimensional analysis', 'dimension', 'length']","['Dimensional analysis', 'Dimension', 'Length']"
Quasi-arithmetic mean,"['mean', 'average', 'measure']","['Mean', 'Average', 'Measure (mathematics)']"
General linear group,"['group', 'element', 'elemental']","['Group (mathematics)', 'Element (mathematics)', 'Measurement']"
Tablet (pharmacy),"['dosage form', 'solid', 'form']","['Gamma', 'Solid', 'Determinant']"
Electrostatics,"['system', 'charge', 'interact']","['Mathematics', 'Brane', 'Matrix (mathematics)']"
Regular expression,"['character', 'character sequence', 'character set']","['Character (mathematics)', 'Hofstadter sequence', 'Character (mathematics)']"
Sherman–Morrison formula,"['inverse', 'function', 'formula']","['Inverse function', 'Function (mathematics)', 'Formula']"
John von Neumann,"['theorem', 'theorem proving', 'mathematician']","['Theorem', 'Theorem', 'Mathematician']"
Real analysis,"['theory', 'function', 'theory']","['Set theory', 'Function (mathematics)', 'Set theory']"
Euclidean algorithm,"['algorithm', 'find', 'path']","['Algorithm', 'Function (mathematics)', 'Path (topology)']"
Conjugacy class,['class of all conjugacy classes'],[]
Inverse function rule,"['inverse', 'function', 'rule']","['Inverse function', 'Function (mathematics)', ""Cramer's rule""]"
Conditional expectation,"['conditional statement', 'true if', 'statement']","['Conditional independence', 'Axiom', 'Mathematics']"
Steinitz exchange lemma,"['set', 'identity', 'element']","['Set (mathematics)', 'Identity (mathematics)', 'Element (mathematics)']"
Nash equilibrium,"['equilibrium', 'game', 'player']","['Mathematics', 'Matrix (mathematics)']"
Determinantal point process,"['process', 'solution', 'system']","['Process', 'Equation', 'Mathematics']"
Field (mathematics),"['set', 'plane', 'point']","['Set (mathematics)', 'Plane (geometry)', 'Point (geometry)']"
Mutually orthogonal Latin squares,['mutually orthogonal polygons'],['Pythagorean theorem']
Shape,"['figure', 'geometry', 'figure']",['Geometry']
Trace (linear algebra),"['order', 'preserve', 'transformation']","['Mathematics', 'Isometry', 'Transformation (function)']"
Matrix exponential,"['matrix', 'function', 'combination']","['Matrix (mathematics)', 'Function (mathematics)', 'Combination']"
Weight (representation theory),"['inverse', 'measure', 'vector']","['Inverse function', 'Measure (mathematics)', 'Vector (mathematics and physics)']"
Heat equation,"['change', 'temperature', 'equation']","['Rate (mathematics)', 'Temperature', 'Equation']"
Natural transformation,"['transformation', 'preserve', 'structure']","['Transformation (function)', 'Isometry', 'Structure (mathematical logic)']"
Linear differential equation,"['time', 'function', 'equation']","['Local time (mathematics)', 'Function (mathematics)', 'Equation']"
Magnetic vector potential,"['vector quantity', 'product', 'vector']","['Vector notation', 'Product (mathematics)', 'Vector (mathematics and physics)']"
Inverse function,"['inverse', 'function', 'graph']","['Function (mathematics)', 'Graph (discrete mathematics)']"
Concatenation,"['set', 'operation', 'element']","['Set (mathematics)', 'Operation (mathematics)', 'Element (mathematics)']"
Triangle,"['polygon', 'side', 'triangle']","['Polygon', 'Parity (mathematics)']"
Horizontal line test,"['slope', 'test', 'line']","['Slope', 'SAT', 'Line (geometry)']"
French curve,"['polygon', 'curve', 'midpoint']","['Polygon', 'Curve', 'Midpoint']"
Surface area,"['area', 'measure', 'surface']","['Area', 'Measure (mathematics)', 'Surface (mathematics)']"
Characterization (mathematics),"['description', 'object', 'mathematical']","['Description', 'Category (mathematics)', 'Mathematics']"
Linear discriminant analysis,"['statistical technique', 'continuous', 'normally distributed']","['Statistics', 'Continuous function', 'Normal distribution']"
Matrix splitting,"['eigenvalue', 'matrix', 'eigenvector']","['Degeneracy (mathematics)', 'Matrix (mathematics)', 'Eigenface']"
Message passing,"['communication', 'protocol', 'network']","['Communication', 'Gossip protocol', 'Flow network']"
Crystal oscillator,"['frequency', 'motion', 'energy']","['Frequency (statistics)', 'Motion', 'Energy']"
Hadamard matrix,"['matrix', 'vector', 'rank']","['Matrix (mathematics)', 'Vector (mathematics and physics)', 'Rank (linear algebra)']"
Linearity,"['function', 'variable', 'combination']","['Function (mathematics)', 'Variable (mathematics)', 'Combination']"
Zero of a function,"['graph', 'point', 'x-axis']","['Graph (discrete mathematics)', 'Point (geometry)', 'Axis']"
Scalar (mathematics),"['scalar', 'number', 'object']","['Number', 'Category (mathematics)']"
Matrix similarity,"['inverse', 'matrix', 'vector']","['Inverse function', 'Matrix (mathematics)', 'Vector (mathematics and physics)']"
Eccentricity (mathematics),"['radii', 'circle', 'distance']","['Radius', 'Circle', 'Distance']"
Module (mathematics),"['set', 'operation', 'arithmetic']","['Set (mathematics)', 'Operation (mathematics)', 'Arithmetic']"
Composition (combinatorics),"['group', 'element', 'combination']","['Group (mathematics)', 'Element (mathematics)', 'Combination']"
Unit square,"['length', 'side', 'square']","['Length', 'Parity (mathematics)', 'Square']"
Wave equation,"['wave', 'motion', 'equation']","['Wave', 'Motion', 'Equation']"
Non-negative matrix factorization,"['matrix', 'reduce', 'method']","['Matrix (mathematics)', 'Reduce (computer algebra system)', 'Mathematics']"
Resultant,"['product', 'quantity', 'sum']","['Product (mathematics)', 'Quantity', 'Series (mathematics)']"
Midpoint,"['angle', 'right', 'side']","['Angle', 'Set (mathematics)', 'Parity (mathematics)']"
Reciprocal length,"['length', 'line', 'axis']","['Length', 'Line (geometry)', 'Axis']"
René Descartes,"['number', 'mathematician', 'concept']","['Number', 'Mathematician', 'Concept']"
Overfitting,"['data set', 'model', 'fit']","['Set (abstract data type)', 'Mathematics', 'Curve fitting']"
Matrix determinant lemma,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Associative property,"['property', 'group', 'element']","['Property (mathematics)', 'Group (mathematics)', 'Element (mathematics)']"
Singular value decomposition,"['set', 'number', 'product']","['Set (mathematics)', 'Number', 'Product (mathematics)']"
Outline of linear algebra,"['set', 'solution', 'equation']","['Set (mathematics)', 'Equation', 'Equation']"
The Doctor (Doctor Who),"['time', 'traveller', 'space']","['Local time (mathematics)', 'Traffic flow', 'Space (mathematics)']"
AdS/CFT correspondence,['symmetry group and symmetry property'],['Symmetry in mathematics']
Grassmannian,"['Grassmannian curve', 'curve', 'topology']","['Affine Grassmannian', 'Curve', 'Topology']"
Gauss map,"['eigenvalue', 'function', 'map']","['Degeneracy (mathematics)', 'Function (mathematics)', 'Map (mathematics)']"
Invertible matrix,"['matrix', 'inverse', 'matrix multiplication']","['Matrix (mathematics)', 'Inverse function', 'Matrix multiplication']"
Hyperspace,['spacetime'],['Spacetime']
Equation,"['relationship', 'quantity', 'statement']","['Spurious relationship', 'Quantity', 'Mathematics']"
Half-exponential function,"['polynomial', 'function', 'exponential']","['Polynomial', 'Function (mathematics)', 'Exponential sum']"
Definite quadratic form,"['quadratic form', 'linear system', 'equation']","['Quadratic form', 'Linear system', 'Equation']"
Diophantine geometry,['prime number'],['Prime number']
Linear programming,"['model', 'problem', 'solve']","['Mathematics', 'Word problem (mathematics)', 'Solver']"
Transition kernel,"['kernel', 'point', 'function']","['Kernel (image processing)', 'Point (geometry)', 'Function (mathematics)']"
Flow diagram,"['flow', 'diagram', 'process']","['Flow (mathematics)', 'Diagram (mathematical logic)', 'Process']"
Factor,"['number', 'number', 'multiplier']","['Number', 'Number', 'Multiplier (Fourier analysis)']"
Lancaster University,"['university', 'mathematician', 'university']","['Mathematics', 'Mathematician', 'Mathematics']"
Composite number,"['prime number', 'number', 'sum']","['Prime number', 'Number', 'Series (mathematics)']"
Laplace operator,"['operator', 'differential', 'function']","['Operator (mathematics)', 'Differential equation', 'Function (mathematics)']"
QR code,"['barcode', 'two-dimensional']",['Dimension']
State-transition matrix,"['state', 'transition', 'system']","['Function (mathematics)', 'Phase transition', 'Mathematics']"
Real coordinate space,"['set', 'point', 'coordinate']","['Set (mathematics)', 'Point (geometry)', 'Coordinate system']"
Euler angles,"['measure', 'angle', 'line']","['Measure (mathematics)', 'Angle', 'Line (geometry)']"
Semiprime,"['number', 'composite', 'prime']","['Number', 'Composite field (mathematics)', 'Prime (symbol)']"
Curve,"['point', 'curve', 'function']","['Point (geometry)', 'Function (mathematics)']"
Isaac Newton,"['number', 'scientist', 'concept']","['Number', 'Scientist', 'Concept']"
Householder transformation,"['symmetry', 'object', 'preserve']","['Symmetry', 'Category (mathematics)', 'Isometry']"
Pointwise product,"['product', 'vector', 'vector product']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Cross product']"
Cell migration,"['cell', 'move', 'place']","['K-cell (mathematics)', 'Locus (mathematics)', 'Locus (mathematics)']"
Hamming distance,"['measure', 'distance', 'point']","['Measure (mathematics)', 'Distance', 'Point (geometry)']"
Composite field (mathematics),"['field', 'product', 'field']","['Field (mathematics)', 'Product (mathematics)', 'Field (mathematics)']"
Change of base,"['change', 'system', 'number']","['Rate (mathematics)', 'Mathematics', 'Number']"
Decoded (novel),"['series', 'cipher', 'encipher']","['Series (mathematics)', 'Cipher', 'Cipher']"
Eigenface,"['eigenvector', 'matrix', 'surface']","['Matrix (mathematics)', 'Surface (mathematics)']"
Insulin resistance,"['disease', 'condition', 'insulin']","['Epidemic', 'Kutta condition', 'Insulin receptor']"
Quantity,['a measure of the amount of something'],['Measurement']
Normed vector space,"['vector space', 'norm', 'space']","['Vector space', 'Norm (mathematics)', 'Space (mathematics)']"
Minimal polynomial (linear algebra),"['polynomial', 'zero', 'root']","['Polynomial', '0', 'Root (disambiguation)']"
Common logarithm,"['digit', 'number', 'ratio']","['Digit sum', 'Number', 'Ratio']"
Saddle point,"['line', 'point', 'line segment']","['Line (geometry)', 'Point (geometry)', 'Line segment']"
Triviality (mathematics),"['property', 'set', 'element']","['Property (mathematics)', 'Set (mathematics)', 'Element (mathematics)']"
Sign function,"['sign', 'number', 'function']","['Sign (mathematics)', 'Number', 'Function (mathematics)']"
Born rule,"['polynomial', 'root', 'square']","['Polynomial', 'Root (disambiguation)', 'Square']"
Function composition,"['function', 'function composition', 'function']","['Function (mathematics)', 'Function (mathematics)']"
Golden ratio,"['series', 'ratio', 'quantity']","['Series (mathematics)', 'Ratio', 'Quantity']"
Parallelogram law,"['law of sines', 'law of cosines']","['Law of sines', 'Law of cosines']"
Inverse limit,"['limit', 'number', 'interval']","['Limit (mathematics)', 'Number', 'Interval (mathematics)']"
Property (mathematics),"['property', 'concept', 'math']","['Concept', 'Math 55']"
Maximum principle,"['set', 'element', 'square']","['Set (mathematics)', 'Element (mathematics)', 'Square']"
Infinity,"['infinitely small', 'infinitely large']",['Infinitesimal']
Lagrange's theorem (group theory),"['theorem', 'theorem of Lagrange']","['Theorem', 'Joseph-Louis Lagrange']"
Affine symmetric group,"['group', 'element', 'symmetry']","['Group (mathematics)', 'Element (mathematics)', 'Symmetry']"
Free module,"['group', 'element', 'add']","['Group (mathematics)', 'Element (mathematics)', 'ADD (disambiguation)']"
Gröbner basis,"['set', 'eigenvector', 'group']","['Set (mathematics)', 'Eigenface', 'Group (mathematics)']"
Hypotenuse,"['length', 'side', 'side length']","['Length', 'Parity (mathematics)', 'Arc length']"
Isotropic quadratic form,"['x', 'y', 'z']","['Function (mathematics)', 'Locus (mathematics)', 'Z']"
Velocity,"['momentum', 'velocity', 'change']","['Momentum', 'Rate (mathematics)']"
Alternating permutation,"['group', 'permutation', 'element']","['Group (mathematics)', 'Permutation', 'Element (mathematics)']"
Parametric design,"['change', 'time', 'design']","['Rate (mathematics)', 'Local time (mathematics)', 'Mathematics']"
Elementary matrix,"['matrix', 'vector', 'combination']","['Matrix (mathematics)', 'Vector (mathematics and physics)', 'Combination']"
Union (set theory),"['set', 'element', 'distinct']","['Set (mathematics)', 'Element (mathematics)', 'Element (mathematics)']"
