concept,dep_articles_de2,dep_articles_de3,dep_articles
Inverse function theorem,[],"['Invertible matrix', 'Matrix (mathematics)']","['Matrix (mathematics)', 'Invertible matrix']"
Vandermonde matrix,"['Matrix exponential', 'Block matrix', 'Determinant']","['Matrix (mathematics)', 'Polynomial', 'Determinant', 'Field extension', 'Formula']","['Determinant', 'Block matrix', 'Field extension', 'Matrix (mathematics)', 'Formula']"
Principal value,"['Complex number', 'Split-complex number', 'Complex plane', 'Imaginary unit', 'Real number']","['Cartesian coordinate system', 'Complex number', 'Real number', 'Complex plane', 'Number']","['Number', 'Imaginary unit', 'Cartesian coordinate system', 'Real number', 'Complex plane', 'Complex number', 'Split-complex number']"
Titanic (1997 film),[],"['Matrix (mathematics)', 'Identity matrix', 'Gaussian elimination', 'Linear system', 'Field extension']","['Identity matrix', 'Gaussian elimination', 'Field extension', 'Matrix (mathematics)', 'Linear system']"
Non-negative matrix factorization,"['Matrix equivalence', 'Partition function (mathematics)']","['Matrix (mathematics)', 'Column', 'Redox', 'Gaussian elimination', 'Identity matrix']","['Redox', 'Identity matrix', 'Partition function (mathematics)', 'Matrix equivalence', 'Column', 'Matrix (mathematics)', 'Gaussian elimination']"
Tensor,"['Gaussian elimination', 'System of linear equations']","['Rugby league positions', 'Multiplication', 'Rho', 'Elementary matrix', 'Example (musician)']","['Multiplication', 'Gaussian elimination', 'Rugby league positions', 'System of linear equations', 'Elementary matrix', 'Rho', 'Example (musician)']"
Steinitz exchange lemma,['Linear independence'],"['Linear independence', 'Vector space', 'Independence (probability theory)', 'Linear combination', 'If and only if']","['Linear combination', 'Vector space', 'Independence (probability theory)', 'Linear independence', 'If and only if']"
Mathematical proof,[],"['Matrix (mathematics)', 'Basis (linear algebra)', 'Diagonal matrix', 'Invertible matrix', 'Standard basis']","['Standard basis', 'Basis (linear algebra)', 'Diagonal matrix', 'Matrix (mathematics)', 'Invertible matrix']"
String theory,"['Nilpotent', 'Nilpotent matrix']","['Linear map', 'Bijection', 'Dimension', 'Kernel (linear algebra)', 'Direct sum']","['Bijection', 'Linear map', 'Nilpotent matrix', 'Dimension', 'Kernel (linear algebra)', 'Nilpotent', 'Direct sum']"
Composition of relations,['Matrix multiplication'],"['Matrix multiplication', 'Matrix (mathematics)', 'Standardization', 'Function composition', 'Linear map']","['Linear map', 'Matrix (mathematics)', 'Matrix multiplication', 'Standardization', 'Function composition']"
Markov chain,"['State-transition matrix', 'Transition kernel', 'Linear equation']","['Matrix (mathematics)', 'Probability', '.example', 'Quantum state', 'Sovereign state']","['Sovereign state', '.example', 'Matrix (mathematics)', 'Quantum state', 'Transition kernel', 'Linear equation', 'Probability']"
Cauchy theorem,['Determinant'],"['If and only if', 'Mathematical proof', 'Square matrix', 'Theorem', 'Inequality (mathematics)']","['Theorem', 'Inequality (mathematics)', 'Determinant', 'Square matrix', 'If and only if', 'Mathematical proof']"
Decoding methods,['Code'],"['Matrix (mathematics)', 'Parity-check matrix', 'Matrix multiplication', 'Decimal', 'Finite field']","['Parity-check matrix', 'Finite field', 'Code', 'Matrix multiplication', 'Decimal', 'Matrix (mathematics)']"
Axiom,['Complex number'],"['Complex number', 'Number', 'Cartesian coordinate system', 'Additive identity', 'Multiplicative inverse']","['Additive identity', 'Multiplicative inverse', 'Number', 'Cartesian coordinate system', 'Complex number']"
Scattering,['Correlation'],"['Variance', 'Arithmetic mean', 'Sample mean and covariance', 'Vector space', 'Statistics']","['Vector space', 'Correlation', 'Statistics', 'Arithmetic mean', 'Variance', 'Sample mean and covariance']"
Natural logarithm,[],"['Logarithm', 'Calculator', 'Richter magnitude scale', 'Scientific calculator', 'Inverse function']","['Calculator', 'Richter magnitude scale', 'Scientific calculator', 'Inverse function', 'Logarithm']"
Symmetric bilinear form,['Barrier function'],"['Matrix (mathematics)', 'Bilinear form', 'Vector space', 'Field extension', 'Exercise']","['Vector space', 'Bilinear form', 'Field extension', 'Matrix (mathematics)', 'Exercise', 'Barrier function']"
Fractal,[],"['Eigenvalues and eigenvectors', 'Dynamical system', 'Trajectory', 'Diagonalizable matrix', '.example']","['Diagonalizable matrix', 'Dynamical system', 'Trajectory', '.example', 'Eigenvalues and eigenvectors']"
Homological algebra,[],"['Inner product space', 'Vector space', 'Projection (linear algebra)', 'Dimension (vector space)', 'Direct sum']","['Dimension (vector space)', 'Vector space', 'Inner product space', 'Projection (linear algebra)', 'Direct sum']"
Electrostatics,['Local optimum'],"['Rate (mathematics)', 'Interval (mathematics)', 'Batting average (cricket)', 'Information technology', 'Miles per hour']","['Batting average (cricket)', 'Rate (mathematics)', 'Information technology', 'Interval (mathematics)', 'Miles per hour', 'Local optimum']"
Invertible knot,"['Determinant', 'Skew-symmetric matrix']","['Matrix (mathematics)', 'Invertible matrix', 'Matrix multiplication', 'Square matrix', 'Theorem']","['Theorem', 'Skew-symmetric matrix', 'Matrix multiplication', 'Determinant', 'Square matrix', 'Matrix (mathematics)', 'Invertible matrix']"
Gram–Schmidt process,"['Orthonormal basis', 'Orthogonality (mathematics)', 'Orthogonal matrix', 'Linear equation']","['Vector space', 'Independence (probability theory)', 'Mathematical induction', 'Mathematical proof', 'Orthonormality']","['Orthonormality', 'Orthogonality (mathematics)', 'Vector space', 'Independence (probability theory)', 'Mathematical induction', 'Orthogonal matrix', 'Orthonormal basis', 'Linear equation', 'Mathematical proof']"
Cam,"['Euclidean algorithm', 'Modulo (mathematics)']","['Modular arithmetic', 'Arithmetic', 'Invertible matrix', 'Peano axioms', 'Real number']","['Modulo (mathematics)', 'Real number', 'Arithmetic', 'Euclidean algorithm', 'Peano axioms', 'Invertible matrix', 'Modular arithmetic']"
Relation (mathematics),[],"['Stock market', 'Dot-com bubble', 'Graph (discrete mathematics)', 'Mean', 'S&P Global Ratings']","['Stock market', 'S&P Global Ratings', 'Mean', 'Dot-com bubble', 'Graph (discrete mathematics)']"
Tetrahedron,[],"['Exercise', 'Euclidean vector', 'Point (geometry)', 'Vertex (geometry)', 'Triangle']","['Triangle', 'Euclidean vector', 'Point (geometry)', 'Exercise', 'Vertex (geometry)']"
Sard's theorem,['Basis (linear algebra)'],"['Vector space', 'Linear independence', 'Independent politician', 'Standard basis', 'Linear subspace']","['Independent politician', 'Standard basis', 'Vector space', 'Linear subspace', 'Basis (linear algebra)', 'Linear independence']"
Exponential decay,['Exponential growth'],"['Exponential function', 'Population', 'India', 'Graph (discrete mathematics)', 'Veganism']","['Population', 'Veganism', 'Exponential growth', 'Exponential function', 'India', 'Graph (discrete mathematics)']"
Transformation matrix,"['Affine transformation', 'Matrix (mathematics)', 'Triangular matrix']","['Matrix (mathematics)', 'Linear map', 'Scalar (mathematics)', 'Polynomial', 'Elementary matrix']","['Elementary matrix', 'Matrix (mathematics)', 'Scalar (mathematics)']"
Directed graph,"['Matrix multiplication', 'Pattern Blocks']","['Matrix (mathematics)', 'Vertex (geometry)', 'Adjacency matrix', 'Matrix multiplication', 'Multiplication']","['Multiplication', 'Matrix multiplication', 'Pattern Blocks', 'Matrix (mathematics)', 'Adjacency matrix', 'Vertex (geometry)']"
Euclidean geometry,[],"['Dot product', 'Euclidean vector', 'Orthogonality', 'Linear algebra', 'Unit vector']","['Unit vector', 'Euclidean vector', 'Dot product', 'Orthogonality', 'Linear algebra']"
Minimum spanning tree,[],"['Vector space', 'Independent politician', 'Linear independence', 'Linear combination', 'Determinant']","['Independent politician', 'Linear combination', 'Vector space', 'Determinant', 'Linear independence']"
Set (mathematics),"['Bijection', 'Empty set', 'Subset', 'Image (mathematics)', 'One-to-one (data model)']","['Linear map', 'Euclidean vector', 'Rotation', 'Matrix multiplication', 'Surjective function']","['Surjective function', 'Bijection', 'Linear map', 'Euclidean vector', 'Matrix multiplication', 'Image (mathematics)', 'Rotation', 'One-to-one (data model)']"
Correlation,[],"['Sample mean and covariance', 'Arithmetic mean', 'Matrix (mathematics)', 'Linear algebra', 'Invertible matrix']","['Arithmetic mean', 'Linear algebra', 'Matrix (mathematics)', 'Invertible matrix', 'Sample mean and covariance']"
Normal basis,['Free module'],"['Module (mathematics)', 'Vector space', 'Matrix (mathematics)', 'Linear independence', 'Linear combination']","['Matrix (mathematics)', 'Free module', 'Vector space', 'Linear combination', 'Module (mathematics)', 'Linear independence']"
Sum,['Standard basis'],"['Exercise', 'Linear span', 'Linear subspace', 'Euclidean vector', 'Matrix (mathematics)']","['Linear span', 'Standard basis', 'Euclidean vector', 'Linear subspace', 'Matrix (mathematics)', 'Exercise']"
Exotic sphere,"['Coefficient', 'Sign function']","['Exponentiation', 'Function (mathematics)', 'Bird', 'Sample (statistics)', 'Real number']","['Function (mathematics)', 'Bird', 'Sign function', 'Exponentiation', 'Real number', 'Coefficient', 'Sample (statistics)']"
Change of variables,[],"['Volume', 'Coordinate system', 'Polar coordinate system', 'Euclidean vector', 'Matrix (mathematics)']","['Polar coordinate system', 'Coordinate system', 'Euclidean vector', 'Matrix (mathematics)', 'Volume']"
Cesàro summation,"['Series (mathematics)', 'Summation']","['Summation', 'Mathematical notation', 'Sequence', 'Summation notation', 'Sigma']","['Sequence', 'Series (mathematics)', 'Sigma', 'Summation notation', 'Mathematical notation', 'Summation']"
Antiparallel (mathematics),['Line (geometry)'],"['System of linear equations', 'Parametric equation', 'Point (geometry)', 'Graph (discrete mathematics)', 'Euclidean vector']","['Euclidean vector', 'System of linear equations', 'Graph (discrete mathematics)', 'Point (geometry)', 'Line (geometry)', 'Parametric equation']"
Cauchy sequence,"['Quadratic formula', 'Integer sequence', 'Sequence']","['Sequence', 'Hit (baseball)', 'Domain of a function', 'Exponential function', 'Integer (computer science)']","['Integer sequence', 'Sequence', 'Hit (baseball)', 'Domain of a function', 'Quadratic formula', 'Exponential function', 'Integer (computer science)']"
Fisher transformation,['Affine transformation'],"['Linear map', 'Matrix (mathematics)', 'Vector space', 'Skew-symmetric matrix', 'Field extension']","['Linear map', 'Vector space', 'Skew-symmetric matrix', 'Affine transformation', 'Field extension', 'Matrix (mathematics)']"
If and only if,"['Matrix (mathematics)', 'Matrix addition', 'Pauli matrices', 'Rotation matrix', 'Triangular matrix']","['Matrix (mathematics)', 'Row and column vectors', 'Column', 'Subscript and superscript', 'Mathematical notation']","['Matrix addition', 'Rotation matrix', 'Triangular matrix', 'Pauli matrices', 'Column', 'Matrix (mathematics)', 'Subscript and superscript', 'Mathematical notation', 'Row and column vectors']"
Transitive relation,"['Constant-recursive sequence', 'Linear congruential generator']","['Sequence', 'Recurrence relation', 'Vector space', 'Scalar multiplication', 'Linear map']","['Sequence', 'Recurrence relation', 'Linear map', 'Linear congruential generator', 'Vector space', 'Constant-recursive sequence', 'Scalar multiplication']"
Point-biserial correlation coefficient,"['Correlation', 'Mathematics']","['Pearson correlation coefficient', 'Sample (statistics)', 'Vitamin', 'Sick leave', 'Variance']","['Pearson correlation coefficient', 'Mathematics', 'Correlation', 'Vitamin', 'Sample (statistics)', 'Sick leave', 'Variance']"
Bijection,"['Differentiable function', 'One-to-one (data model)', 'Set (mathematics)', 'Image (mathematics)', 'Canonical form']","['Linear map', 'Injective function', 'Matrix (mathematics)', 'Scalar (mathematics)', 'Mathematical proof']","['Linear map', 'Injective function', 'Canonical form', 'Set (mathematics)', 'Scalar (mathematics)', 'Image (mathematics)', 'Differentiable function', 'Matrix (mathematics)', 'One-to-one (data model)', 'Mathematical proof']"
Creation and annihilation operators,[],"['Eigenvalues and eigenvectors', 'Vector space', 'Diagonalizable matrix', 'Scalar (mathematics)', 'Linear map']","['Diagonalizable matrix', 'Linear map', 'Vector space', 'Scalar (mathematics)', 'Eigenvalues and eigenvectors']"
Tensor operator,"['Mathematical proof', 'Triangular matrix']","['Matrix (mathematics)', 'Invariant (mathematics)', 'Linear map', 'Similarity invariance', 'Invertible matrix']","['Similarity invariance', 'Linear map', 'Invariant (mathematics)', 'Triangular matrix', 'Matrix (mathematics)', 'Invertible matrix', 'Mathematical proof']"
Antipodal point,"['Projective geometry', 'Homogeneous coordinates', 'Projective plane', 'Vanish at infinity']","['Dome', 'Equator', 'Coordinate vector', 'Antipodes', 'Projective geometry']","['Vanish at infinity', 'Equator', 'Projective plane', 'Projective geometry', 'Homogeneous coordinates', 'Coordinate vector', 'Antipodes', 'Dome']"
Counterexample,"['Canonical form', 'Echelon formation', 'Elementary matrix', 'Hermite normal form', 'Matrix decomposition']","['System of linear equations', 'Exercise', 'Matrix (mathematics)', 'Elementary matrix', 'Vitamin A']","['Echelon formation', 'Matrix decomposition', 'Hermite normal form', 'Canonical form', 'Elementary matrix', 'System of linear equations', 'Vitamin A', 'Matrix (mathematics)', 'Exercise']"
Multiplicity (mathematics),"['Polynomial', 'Eigenvalues and eigenvectors', 'Multiset', 'Eigenvalue algorithm', '0']","['Polynomial', 'Matrix (mathematics)', 'Square root', 'Eigenvalues and eigenvectors', 'Characteristic polynomial']","['Polynomial', 'Eigenvalue algorithm', '0', 'Matrix (mathematics)']"
Weyl tensor,['Vector space'],"['Vector space', 'Abstraction', 'Mathematician', 'Matrix (mathematics)', 'General relativity']","['Abstraction', 'Vector space', 'General relativity', 'Mathematician', 'Matrix (mathematics)']"
Look-and-say sequence,"['Constant-recursive sequence', 'Linear congruential generator']","['Sequence', 'Recurrence relation', 'Vector space', 'Scalar multiplication', 'Linear map']","['Sequence', 'Recurrence relation', 'Linear map', 'Linear congruential generator', 'Vector space', 'Constant-recursive sequence', 'Scalar multiplication']"
Semisimple Lie algebra,[],"['Vector space', 'Linear map', 'Diagonalizable matrix', 'Jordan normal form', 'Algebraically closed field']","['Diagonalizable matrix', 'Linear map', 'Vector space', 'Jordan normal form', 'Algebraically closed field']"
Diophantine geometry,[],"['Matrix (mathematics)', 'Column', 'Invertible matrix', 'Eigenvalues and eigenvectors', 'Geometry']","['Geometry', 'Column', 'Matrix (mathematics)', 'Invertible matrix', 'Eigenvalues and eigenvectors']"
Piecewise linear function,[],"['Function (mathematics)', 'Piecewise', 'Absolute value', 'Domain of a function', 'Formula']","['Function (mathematics)', 'Domain of a function', 'Absolute value', 'Piecewise', 'Formula']"
Reflection (mathematics),"['Linear map', 'Affine transformation', 'Rotation (mathematics)']","['Linear map', 'Matrix (mathematics)', 'Reflection (physics)', 'Cartesian coordinate system', 'Rotation']","['Linear map', 'Affine transformation', 'Rotation (mathematics)', 'Reflection (physics)', 'Matrix (mathematics)', 'Rotation']"
Cyclic subspace,[],"['Vector space', 'Polynomial', 'Invariant (mathematics)', 'Cyclic vector', 'Linear map']","['Linear map', 'Vector space', 'Polynomial', 'Cyclic vector', 'Invariant (mathematics)']"
Cyclic permutation,"['Elementary matrix', 'Gaussian elimination']","['Matrix (mathematics)', 'Identity matrix', 'Main diagonal', 'Matrix multiplication', 'Field extension']","['Main diagonal', 'Identity matrix', 'Matrix multiplication', 'Elementary matrix', 'Field extension', 'Matrix (mathematics)', 'Gaussian elimination']"
Concave function,['Local optimum'],"['Interval (mathematics)', 'Function (mathematics)', 'Maxima and minima', 'Graph of a function', 'Roller coaster']","['Function (mathematics)', 'Maxima and minima', 'Interval (mathematics)', 'Roller coaster', 'Graph of a function', 'Local optimum']"
Pythagorean theorem,"['Vector notation', 'Real coordinate space', 'Y-intercept']","['Euclidean vector', 'Unit vector', 'Equation', 'Triangle', 'Formula']","['Triangle', 'Unit vector', 'Vector notation', 'Euclidean vector', 'Y-intercept', 'Equation', 'Formula', 'Real coordinate space']"
Jordan measure,[],"['Matrix (mathematics)', 'Diagonalizable matrix', 'Equivalence relation', 'WeBWorK', 'Block matrix']","['Diagonalizable matrix', 'Equivalence relation', 'WeBWorK', 'Block matrix', 'Matrix (mathematics)']"
Ordered field,['System of linear equations'],"['Complex number', 'Integer (computer science)', 'Real number', 'Field (mathematics)', 'Scalar (mathematics)']","['Field (mathematics)', 'Integer (computer science)', 'Real number', 'System of linear equations', 'Complex number', 'Scalar (mathematics)']"
Real coordinate space,"['Vector notation', 'Cross product', 'Matrix multiplication', 'Unit vector']","['Euclidean vector', 'Geometry', 'Field extension', 'System of linear equations', 'Tuple']","['Geometry', 'Vector notation', 'Euclidean vector', 'Matrix multiplication', 'System of linear equations', 'Cross product', 'Tuple', 'Field extension']"
Distributive lattice,"['Matrix multiplication', 'Scalar multiplication']","['Matrix (mathematics)', '.properties', 'Chemist + Druggist', 'Real number', 'Distributive property']","['Chemist + Druggist', 'Matrix multiplication', 'Real number', '.properties', 'Scalar multiplication', 'Matrix (mathematics)', 'Distributive property']"
Complex conjugate of a vector space,[],"['Linear independence', 'Euclidean vector', 'Linear combination', 'Independence (probability theory)', 'Independent set (graph theory)']","['Independent set (graph theory)', 'Linear combination', 'Euclidean vector', 'Independence (probability theory)', 'Linear independence']"
